#beam_index,zenith,azimuth,delay_ant0_by,delay_ant1_by,delay_ant2_by,delay_ant3_by
0,-40.5,-6.128830275285230,22,8,-8,-22
1,-40.5,28.38383518456710,18,8,-8,-18
2,-40.5,62.34052143151240,14,8,-8,-14
3,-40.5,96.29686658691620,10,8,-8,-10
4,-20.5,-5.618216237419210,14,4,-4,-14
5,-20.5,28.894790313974800,10,4,-4,-10
6,-20.5,62.85113546937850,6,4,-4,-6
7,-20.5,96.52914992678710,2,4,-4,-2
8,0.5,-5.386273989089940,6,0,0,-6
9,0.5,28.29174046831870,2,0,0,-2
10,0.5,62.528803962509100,-2,0,0,2
11,0.5,96.20715951145940,-6,0,0,6
12,20.5,-5.708264404417610,-2,-4,4,2
13,20.5,28.24808075098610,-6,-4,4,6
14,20.5,62.204425906389800,-10,-4,4,10
15,20.5,96.43910175978870,-14,-4,4,14
16,40.5,-5.754652854083450,-10,-8,8,10
17,40.5,27.923361603325100,-14,-8,8,14
18,40.5,62.15803745672400,-18,-8,8,18
19,40.5,96.11438261212770,-22,-8,8,22